,CH1,CH2
Second,Volt,Volt
-7.99872e-03,0.00e+00,-8.00e-02, 
-7.59872e-03,0.00e+00,0.00e+00, 
-7.19872e-03,0.00e+00,-8.00e-02, 
-6.79872e-03,4.00e-02,0.00e+00, 
-6.39872e-03,0.00e+00,-8.00e-02, 
-5.99872e-03,0.00e+00,0.00e+00, 
-5.59872e-03,0.00e+00,0.00e+00, 
-5.19872e-03,4.00e-02,-8.00e-02, 
-4.79872e-03,0.00e+00,0.00e+00, 
-4.39872e-03,4.00e-02,-8.00e-02, 
-3.99872e-03,0.00e+00,-8.00e-02, 
-3.59872e-03,0.00e+00,0.00e+00, 
-3.19872e-03,0.00e+00,0.00e+00, 
-2.79872e-03,4.00e-02,-8.00e-02, 
-2.39872e-03,0.00e+00,0.00e+00, 
-1.99872e-03,0.00e+00,-8.00e-02, 
-1.59872e-03,4.00e-02,0.00e+00, 
-1.19872e-03,0.00e+00,-8.00e-02, 
-7.98720e-04,0.00e+00,-8.00e-02, 
-3.98720e-04,2.00e+00,4.96e+00, 
1.28000e-06,1.96e+00,4.96e+00, 
4.01280e-04,2.04e+00,5.04e+00, 
8.01280e-04,2.00e+00,4.96e+00, 
1.20128e-03,1.96e+00,5.04e+00, 
1.60128e-03,2.00e+00,5.04e+00, 
2.00128e-03,2.04e+00,4.96e+00, 
2.40128e-03,2.00e+00,5.04e+00, 
2.80128e-03,2.04e+00,4.96e+00, 
3.20128e-03,2.04e+00,4.88e+00, 
3.60128e-03,2.00e+00,5.04e+00, 
4.00128e-03,2.00e+00,4.96e+00, 
4.40128e-03,2.04e+00,4.88e+00, 
4.80128e-03,2.00e+00,4.96e+00, 
5.20128e-03,2.04e+00,4.80e+00, 
5.60128e-03,2.00e+00,4.88e+00, 
6.00128e-03,2.00e+00,4.80e+00, 
6.40128e-03,2.00e+00,4.80e+00, 
6.80128e-03,2.04e+00,4.80e+00, 
7.20128e-03,2.00e+00,4.80e+00, 
7.60128e-03,2.00e+00,4.72e+00, 
8.00128e-03,2.00e+00,4.72e+00, 
8.40128e-03,2.04e+00,4.64e+00, 
8.80128e-03,2.00e+00,4.72e+00, 
9.20128e-03,2.04e+00,-8.00e-02, 
9.60128e-03,2.00e+00,-8.00e-02, 
1.00013e-02,1.96e+00,-8.00e-02, 
1.04013e-02,2.00e+00,-8.00e-02, 
1.08013e-02,2.04e+00,-8.00e-02, 
1.12013e-02,2.00e+00,-8.00e-02, 
1.16013e-02,2.04e+00,0.00e+00, 
1.20013e-02,2.04e+00,-8.00e-02, 
1.24013e-02,1.96e+00,0.00e+00, 
1.28013e-02,2.00e+00,-8.00e-02, 
1.32013e-02,2.04e+00,8.00e-02, 
1.36013e-02,1.92e+00,-8.00e-02, 
1.40013e-02,2.04e+00,0.00e+00, 
1.44013e-02,2.04e+00,0.00e+00, 
1.48013e-02,1.96e+00,0.00e+00, 
1.52013e-02,2.00e+00,0.00e+00, 
1.56013e-02,2.04e+00,-8.00e-02, 
1.60013e-02,1.96e+00,0.00e+00, 
1.64013e-02,2.04e+00,-8.00e-02, 
1.68013e-02,2.04e+00,0.00e+00, 
1.72013e-02,2.00e+00,-8.00e-02, 
1.76013e-02,2.00e+00,0.00e+00, 
1.80013e-02,1.96e+00,-8.00e-02, 
1.84013e-02,1.96e+00,0.00e+00, 
1.88013e-02,2.04e+00,-8.00e-02, 
1.92013e-02,2.04e+00,-8.00e-02, 
1.96013e-02,0.00e+00,4.96e+00, 
2.00013e-02,0.00e+00,4.96e+00, 
2.04013e-02,4.00e-02,5.04e+00, 
2.08013e-02,0.00e+00,5.04e+00, 
2.12013e-02,4.00e-02,4.96e+00, 
2.16013e-02,0.00e+00,5.04e+00, 
2.20013e-02,4.00e-02,5.04e+00, 
2.24013e-02,0.00e+00,5.04e+00, 
2.28013e-02,4.00e-02,4.96e+00, 
2.32013e-02,4.00e-02,5.04e+00, 
2.36013e-02,0.00e+00,4.96e+00, 
2.40013e-02,0.00e+00,4.96e+00, 
2.44013e-02,4.00e-02,5.04e+00, 
2.48013e-02,0.00e+00,4.96e+00, 
2.52013e-02,0.00e+00,4.88e+00, 
2.56013e-02,4.00e-02,4.88e+00, 
2.60013e-02,0.00e+00,4.80e+00, 
2.64013e-02,0.00e+00,4.88e+00, 
2.68013e-02,4.00e-02,4.80e+00, 
2.72013e-02,0.00e+00,4.72e+00, 
2.76013e-02,0.00e+00,4.80e+00, 
2.80013e-02,0.00e+00,4.72e+00, 
2.84013e-02,4.00e-02,4.64e+00, 
2.88013e-02,0.00e+00,4.64e+00, 
2.92013e-02,4.00e-02,-8.00e-02, 
2.96013e-02,0.00e+00,-8.00e-02, 
3.00013e-02,4.00e-02,-8.00e-02, 
3.04013e-02,0.00e+00,-8.00e-02, 
3.08013e-02,4.00e-02,-8.00e-02, 
3.12013e-02,0.00e+00,-8.00e-02, 
