,CH1,CH2
Second,Volt,Volt
-2.24000e-02,3.92e+00,5.12e+00, 
-2.20000e-02,3.60e+00,5.12e+00, 
-2.16000e-02,3.60e+00,5.12e+00, 
-2.12000e-02,3.28e+00,5.20e+00, 
-2.08000e-02,3.20e+00,5.12e+00, 
-2.04000e-02,2.80e+00,5.12e+00, 
-2.00000e-02,2.72e+00,5.12e+00, 
-1.96000e-02,2.16e+00,-8.00e-02, 
-1.92000e-02,2.16e+00,-8.00e-02, 
-1.88000e-02,1.84e+00,-1.60e-01, 
-1.84000e-02,1.84e+00,-8.00e-02, 
-1.80000e-02,1.52e+00,-1.60e-01, 
-1.76000e-02,1.44e+00,-8.00e-02, 
-1.72000e-02,1.20e+00,-1.60e-01, 
-1.68000e-02,1.12e+00,-8.00e-02, 
-1.64000e-02,9.60e-01,-8.00e-02, 
-1.60000e-02,9.60e-01,-8.00e-02, 
-1.56000e-02,8.00e-01,0.00e+00, 
-1.52000e-02,8.80e-01,-8.00e-02, 
-1.48000e-02,8.00e-01,-8.00e-02, 
-1.44000e-02,8.00e-01,-8.00e-02, 
-1.40000e-02,8.80e-01,0.00e+00, 
-1.36000e-02,8.80e-01,-8.00e-02, 
-1.32000e-02,1.28e+00,-8.00e-02, 
-1.28000e-02,1.28e+00,-8.00e-02, 
-1.24000e-02,1.52e+00,0.00e+00, 
-1.20000e-02,1.60e+00,-8.00e-02, 
-1.16000e-02,1.84e+00,0.00e+00, 
-1.12000e-02,1.84e+00,-8.00e-02, 
-1.08000e-02,2.24e+00,-8.00e-02, 
-1.04000e-02,2.24e+00,-8.00e-02, 
-1.00000e-02,2.80e+00,5.20e+00, 
-9.60000e-03,2.88e+00,5.28e+00, 
-9.20000e-03,3.28e+00,5.12e+00, 
-8.80000e-03,3.36e+00,5.20e+00, 
-8.40000e-03,3.68e+00,5.12e+00, 
-8.00000e-03,3.68e+00,5.20e+00, 
-7.60000e-03,3.92e+00,5.12e+00, 
-7.20000e-03,3.92e+00,5.12e+00, 
-6.80000e-03,4.24e+00,5.12e+00, 
-6.40000e-03,4.24e+00,5.12e+00, 
-6.00000e-03,4.48e+00,5.12e+00, 
-5.60000e-03,4.32e+00,5.12e+00, 
-5.20000e-03,4.56e+00,5.20e+00, 
-4.80000e-03,4.40e+00,5.20e+00, 
-4.40000e-03,4.56e+00,5.04e+00, 
