,CH1,CH2
Second,Volt,Volt
3.14000e-02,9.60e+01,1.36e+00, 
3.16000e-02,9.60e+01,1.36e+00, 
3.18000e-02,1.12e+02,1.28e+00, 
3.20000e-02,1.12e+02,1.28e+00, 
3.22000e-02,1.24e+02,1.12e+00, 
3.24000e-02,1.24e+02,1.12e+00, 
3.26000e-02,1.32e+02,9.60e-01, 
3.28000e-02,1.36e+02,9.60e-01, 
3.30000e-02,1.48e+02,8.00e-01, 
3.32000e-02,1.48e+02,8.00e-01, 
3.34000e-02,1.56e+02,5.60e-01, 
3.36000e-02,1.56e+02,5.60e-01, 
3.38000e-02,1.60e+02,8.00e-01, 
3.40000e-02,1.56e+02,6.40e-01, 
3.42000e-02,1.60e+02,5.60e-01, 
3.44000e-02,1.60e+02,5.60e-01, 
3.46000e-02,1.56e+02,6.40e-01, 
3.48000e-02,1.56e+02,5.60e-01, 
3.50000e-02,1.60e+02,8.00e-01, 
3.52000e-02,1.60e+02,7.20e-01, 
3.54000e-02,1.56e+02,4.80e-01, 
3.56000e-02,1.56e+02,5.60e-01, 
3.58000e-02,1.56e+02,7.20e-01, 
3.60000e-02,1.56e+02,5.60e-01, 
3.62000e-02,1.44e+02,8.00e-01, 
3.64000e-02,1.40e+02,8.00e-01, 
3.66000e-02,1.24e+02,1.04e+00, 
3.68000e-02,1.24e+02,1.04e+00, 
3.70000e-02,1.12e+02,1.20e+00, 
3.72000e-02,1.12e+02,1.20e+00, 
3.74000e-02,9.60e+01,1.36e+00, 
3.76000e-02,9.60e+01,1.36e+00, 
3.78000e-02,8.40e+01,1.52e+00, 
3.80000e-02,8.40e+01,1.52e+00, 
3.82000e-02,6.40e+01,1.76e+00, 
3.84000e-02,6.40e+01,1.68e+00, 
3.86000e-02,4.80e+01,1.92e+00, 
3.88000e-02,4.40e+01,1.92e+00, 
3.90000e-02,2.80e+01,2.08e+00, 
3.92000e-02,2.80e+01,2.16e+00, 
3.94000e-02,4.00e+00,2.40e+00, 
